Order_ID,Order_Date,Order_Month,Category,Region,Gross_Amount,Final_Status,Delivery_Days,Customer_Rating,Net_Revenue
ORD00037,2023-02-20,2023-02,Điện thoại & Phụ kiện,Đà Nẵng,0.0,Delivered,8,3.0,
ORD00038,2023-12-30,2023-12,Thời trang,Đà Nẵng,0.0,Delivered,10,4.0,
ORD00039,2023-02-24,2023-02,Mỹ phẩm,Hải Phòng,0.0,Delivered,3,3.0,
ORD00040,2023-09-01,2023-09,Nhà cửa & Đời sống,TP.HCM,0.0,Delivered,10,5.0,
ORD00041,2023-11-16,2023-11,Mỹ phẩm,Cần Thơ,0.0,Delivered,13,2.0,
ORD00042,2023-05-11,2023-05,Điện thoại & Phụ kiện,Hải Phòng,0.0,Delivered,9,2.0,
ORD00043,2023-11-03,2023-11,Điện thoại & Phụ kiện,Hải Phòng,0.0,Canceled,6,0.0,0.0
ORD00044,2023-05-15,2023-05,Thời trang,Đà Nẵng,0.0,Delivered,5,4.0,
ORD00045,2023-01-21,2023-01,Mỹ phẩm,Hà Nội,0.0,Delivered,5,1.0,
ORD00046,2023-11-25,2023-11,Thời trang,Cần Thơ,0.0,Canceled,13,0.0,0.0
ORD00047,2023-06-16,2023-06,Thời trang,Hà Nội,0.0,Delivered,3,1.0,
ORD00048,2023-10-01,2023-10,Mỹ phẩm,Cần Thơ,0.0,Canceled,2,0.0,0.0
ORD00049,2023-03-30,2023-03,Điện thoại & Phụ kiện,TP.HCM,0.0,Delivered,6,1.0,
ORD00050,2023-11-12,2023-11,Mỹ phẩm,Đà Nẵng,0.0,Delivered,11,3.0,
ORD00051,2023-01-14,2023-01,Thời trang,TP.HCM,0.0,Delivered,1,4.0,
ORD00052,2023-08-30,2023-08,Điện thoại & Phụ kiện,Hải Phòng,4530000.0,Delivered,7,1.0,4530000.0
ORD00053,2023-09-22,2023-09,Thời trang,Đà Nẵng,4190000.0,Delivered,5,5.0,4190000.0
ORD00054,2023-12-12,2023-12,Mỹ phẩm,Hải Phòng,2740000.0,Canceled,4,0.0,0.0
ORD00055,2023-02-22,2023-02,Điện thoại & Phụ kiện,TP.HCM,1570000.0,Delivered,9,3.0,1570000.0
ORD00056,2023-12-06,2023-12,Điện thoại & Phụ kiện,Cần Thơ,1930000.0,Delivered,10,1.0,1930000.0
ORD00057,2023-04-02,2023-04,Nhà cửa & Đời sống,Hải Phòng,2360000.0,Delivered,1,2.0,2360000.0
ORD00058,2023-09-21,2023-09,Điện thoại & Phụ kiện,Hà Nội,3010000.0,Delivered,11,4.0,3010000.0
ORD00059,2023-02-04,2023-02,Thời trang,Cần Thơ,4990000.0,Delivered,4,1.0,4990000.0
ORD00060,2023-07-25,2023-07,Thời trang,Cần Thơ,450000.0,Delivered,3,4.0,450000.0
ORD00061,2023-03-22,2023-03,Thời trang,TP.HCM,2550000.0,Delivered,6,1.0,2550000.0
ORD00062,2023-02-19,2023-02,Thời trang,TP.HCM,820000.0,Delivered,5,2.0,820000.0
ORD00063,2023-12-26,2023-12,Điện thoại & Phụ kiện,Đà Nẵng,1590000.0,Returned,7,0.0,0.0
ORD00064,2023-01-02,2023-01,Thời trang,Đà Nẵng,100000.0,Delivered,13,2.0,100000.0
ORD00065,2023-02-23,2023-02,Điện thoại & Phụ kiện,Hà Nội,780000.0,Returned,1,0.0,0.0
ORD00066,2023-04-16,2023-04,Thời trang,Cần Thơ,4660000.0,Delivered,13,4.0,4660000.0
ORD00067,2023-09-17,2023-09,Điện thoại & Phụ kiện,Hà Nội,3020000.0,Delivered,5,5.0,3020000.0
ORD00068,2023-11-06,2023-11,Thời trang,Hà Nội,2390000.0,Canceled,2,0.0,0.0
ORD00069,2023-07-10,2023-07,Điện thoại & Phụ kiện,TP.HCM,2200000.0,Delivered,2,1.0,2200000.0
ORD00070,2023-08-06,2023-08,Điện thoại & Phụ kiện,Hà Nội,810000.0,Canceled,11,0.0,0.0
ORD00071,2023-02-13,2023-02,Điện thoại & Phụ kiện,Hà Nội,4990000.0,Delivered,11,3.0,4990000.0
ORD00072,2023-06-11,2023-06,Điện thoại & Phụ kiện,Hải Phòng,3720000.0,Returned,2,0.0,0.0
ORD00073,2023-07-21,2023-07,Mỹ phẩm,Đà Nẵng,1050000.0,Delivered,9,3.0,1050000.0
ORD00074,2023-09-27,2023-09,Điện thoại & Phụ kiện,Đà Nẵng,4060000.0,Delivered,10,4.0,4060000.0
ORD00075,2023-12-17,2023-12,Nhà cửa & Đời sống,Cần Thơ,930000.0,Delivered,3,1.0,930000.0
ORD00076,2023-10-31,2023-10,Nhà cửa & Đời sống,Đà Nẵng,2370000.0,Canceled,4,0.0,0.0
ORD00077,2023-09-28,2023-09,Thời trang,Cần Thơ,3080000.0,Delivered,5,4.0,3080000.0
ORD00078,2023-08-03,2023-08,Điện thoại & Phụ kiện,Hải Phòng,2450000.0,Delivered,4,2.0,2450000.0
ORD00079,2023-09-09,2023-09,Điện thoại & Phụ kiện,Đà Nẵng,3020000.0,Delivered,4,2.0,3020000.0
ORD00080,2023-07-09,2023-07,Mỹ phẩm,Hải Phòng,2310000.0,Delivered,5,1.0,2310000.0
ORD00081,2023-10-23,2023-10,Điện thoại & Phụ kiện,Đà Nẵng,4670000.0,Delivered,10,5.0,4670000.0
ORD00082,2023-08-01,2023-08,Điện thoại & Phụ kiện,Đà Nẵng,2320000.0,Delivered,9,2.0,2320000.0
ORD00083,2023-07-27,2023-07,Thời trang,Hải Phòng,2900000.0,Delivered,12,4.0,2900000.0
ORD00084,2023-08-25,2023-08,Mỹ phẩm,Hà Nội,2300000.0,Delivered,9,1.0,2300000.0
ORD00085,2023-12-04,2023-12,Mỹ phẩm,Hà Nội,2250000.0,Returned,6,0.0,0.0
ORD00086,2023-02-22,2023-02,Điện thoại & Phụ kiện,Hà Nội,2400000.0,Delivered,11,3.0,2400000.0
ORD00087,2023-10-07,2023-10,Thời trang,Hà Nội,4140000.0,Delivered,12,2.0,4140000.0
ORD00088,2023-08-05,2023-08,Điện thoại & Phụ kiện,Đà Nẵng,1780000.0,Delivered,3,5.0,1780000.0
ORD00089,2023-09-09,2023-09,Điện thoại & Phụ kiện,TP.HCM,3380000.0,Delivered,6,2.0,3380000.0
ORD00090,2023-07-07,2023-07,Mỹ phẩm,Hải Phòng,4350000.0,Delivered,10,5.0,4350000.0
ORD00091,2023-02-10,2023-02,Điện thoại & Phụ kiện,TP.HCM,510000.0,Returned,4,0.0,0.0
ORD00092,2023-06-06,2023-06,Điện thoại & Phụ kiện,TP.HCM,2670000.0,Delivered,3,3.0,2670000.0
ORD00093,2023-01-15,2023-01,Điện thoại & Phụ kiện,Cần Thơ,2050000.0,Delivered,6,5.0,2050000.0
ORD00094,2023-10-28,2023-10,Mỹ phẩm,Hà Nội,4010000.0,Delivered,11,3.0,4010000.0
ORD00095,2023-03-06,2023-03,Mỹ phẩm,Đà Nẵng,1050000.0,Canceled,6,0.0,0.0
ORD00096,2023-12-11,2023-12,Thời trang,Hà Nội,3260000.0,Delivered,2,4.0,3260000.0
ORD00097,2023-11-23,2023-11,Mỹ phẩm,Hà Nội,230000.0,Delivered,9,1.0,230000.0
ORD00098,2023-01-09,2023-01,Điện thoại & Phụ kiện,TP.HCM,1220000.0,Delivered,8,3.0,1220000.0
ORD00099,2023-12-10,2023-12,Thời trang,Cần Thơ,860000.0,Delivered,6,3.0,860000.0
ORD00100,2023-05-09,2023-05,Điện thoại & Phụ kiện,Hà Nội,2860000.0,Delivered,1,1.0,2860000.0
ORD00101,2023-05-16,2023-05,Điện thoại & Phụ kiện,Hải Phòng,4170000.0,Delivered,12,0.0,0.0
ORD00102,2023-03-04,2023-03,Thời trang,Hải Phòng,4430000.0,Delivered,2,0.0,0.0
ORD00103,2023-05-19,2023-05,Nhà cửa & Đời sống,Hà Nội,4750000.0,Delivered,4,0.0,0.0
ORD00104,2023-03-22,2023-03,Điện thoại & Phụ kiện,TP.HCM,4380000.0,Delivered,7,0.0,0.0
ORD00105,2023-06-12,2023-06,Điện thoại & Phụ kiện,TP.HCM,4570000.0,Delivered,9,0.0,0.0
ORD00106,2023-10-16,2023-10,Điện thoại & Phụ kiện,Đà Nẵng,3290000.0,Delivered,10,0.0,0.0
ORD00107,2023-09-18,2023-09,Điện thoại & Phụ kiện,Cần Thơ,4970000.0,Delivered,5,0.0,0.0
ORD00108,2023-08-19,2023-08,Nhà cửa & Đời sống,TP.HCM,4190000.0,Delivered,10,0.0,0.0
ORD00109,2023-02-10,2023-02,Thời trang,Đà Nẵng,1690000.0,Delivered,2,0.0,0.0
ORD00110,2023-01-28,2023-01,Thời trang,Hải Phòng,3220000.0,Delivered,13,0.0,0.0
ORD00111,2023-05-15,2023-05,Mỹ phẩm,Hải Phòng,1280000.0,Delivered,11,0.0,0.0
ORD00112,2023-07-20,2023-07,Điện thoại & Phụ kiện,Hải Phòng,4460000.0,Delivered,11,0.0,0.0
ORD00113,2023-11-24,2023-11,Thời trang,Hà Nội,1700000.0,Delivered,11,0.0,0.0
ORD00114,2023-09-25,2023-09,Thời trang,Cần Thơ,3170000.0,Delivered,1,0.0,0.0
ORD00115,2023-02-02,2023-02,Thời trang,Đà Nẵng,3600000.0,Delivered,10,0.0,0.0
ORD00116,2023-02-17,2023-02,Nhà cửa & Đời sống,Cần Thơ,1550000.0,Delivered,13,0.0,0.0
ORD00117,2023-03-03,2023-03,Mỹ phẩm,Hà Nội,1720000.0,Delivered,1,0.0,0.0
ORD00118,2023-08-04,2023-08,Điện thoại & Phụ kiện,Đà Nẵng,4050000.0,Delivered,5,0.0,0.0
ORD00119,2023-10-20,2023-10,Mỹ phẩm,Đà Nẵng,1880000.0,Delivered,7,0.0,0.0
ORD00120,2023-04-09,2023-04,Điện thoại & Phụ kiện,TP.HCM,980000.0,Delivered,9,0.0,0.0
ORD00121,2023-06-21,2023-06,Điện thoại & Phụ kiện,Cần Thơ,2320000.0,Delivered,9,0.0,0.0
ORD00122,2023-12-26,2023-12,Điện thoại & Phụ kiện,Cần Thơ,2750000.0,Delivered,8,0.0,0.0
ORD00123,2023-08-02,2023-08,Điện thoại & Phụ kiện,TP.HCM,2480000.0,Delivered,1,0.0,0.0
ORD00124,2023-02-04,2023-02,Thời trang,Hải Phòng,3170000.0,Delivered,5,0.0,0.0
ORD00125,2023-08-15,2023-08,Thời trang,Hà Nội,430000.0,Delivered,6,0.0,0.0
ORD00126,2023-04-11,2023-04,Nhà cửa & Đời sống,Cần Thơ,3800000.0,Delivered,6,0.0,0.0
ORD00127,2023-05-11,2023-05,Thời trang,TP.HCM,4600000.0,Delivered,4,0.0,0.0
ORD00128,2023-09-14,2023-09,Thời trang,Đà Nẵng,1760000.0,Delivered,1,0.0,0.0
ORD00129,2023-01-05,2023-01,Điện thoại & Phụ kiện,TP.HCM,4010000.0,Delivered,3,0.0,0.0
ORD00130,2023-08-06,2023-08,Điện thoại & Phụ kiện,Hải Phòng,1340000.0,Delivered,10,0.0,0.0
ORD00131,2023-09-12,2023-09,Thời trang,Hà Nội,2330000.0,Delivered,4,0.0,0.0
ORD00132,2023-12-25,2023-12,Thời trang,Hải Phòng,4220000.0,Delivered,4,0.0,0.0
ORD00133,2023-10-10,2023-10,Mỹ phẩm,Đà Nẵng,1590000.0,Delivered,13,0.0,0.0
ORD00134,2023-07-26,2023-07,Điện thoại & Phụ kiện,Đà Nẵng,4770000.0,Delivered,4,0.0,0.0
ORD00135,2023-01-15,2023-01,Điện thoại & Phụ kiện,Đà Nẵng,4630000.0,Delivered,5,0.0,0.0
ORD00136,2023-12-12,2023-12,Thời trang,Đà Nẵng,1980000.0,Delivered,13,0.0,0.0
ORD00137,2023-02-11,2023-02,Điện thoại & Phụ kiện,TP.HCM,520000.0,Delivered,11,0.0,0.0
ORD00138,2023-06-28,2023-06,Điện thoại & Phụ kiện,Đà Nẵng,4420000.0,Delivered,9,0.0,0.0
ORD00139,2023-03-04,2023-03,Mỹ phẩm,Đà Nẵng,380000.0,Delivered,4,0.0,0.0
ORD00140,2023-12-18,2023-12,Điện thoại & Phụ kiện,TP.HCM,3710000.0,Delivered,9,0.0,0.0
ORD00141,2023-08-19,2023-08,Thời trang,Đà Nẵng,1290000.0,Delivered,9,0.0,0.0
ORD00142,2023-08-29,2023-08,Điện thoại & Phụ kiện,Hải Phòng,3460000.0,Delivered,1,0.0,0.0
ORD00143,2023-02-21,2023-02,Điện thoại & Phụ kiện,Hải Phòng,400000.0,Delivered,5,0.0,0.0
ORD00144,2023-04-06,2023-04,Điện thoại & Phụ kiện,Cần Thơ,1900000.0,Delivered,9,0.0,0.0
ORD00145,2023-08-10,2023-08,Mỹ phẩm,Hải Phòng,1710000.0,Delivered,4,0.0,0.0
ORD00146,2023-08-19,2023-08,Điện thoại & Phụ kiện,Hà Nội,1370000.0,Delivered,5,0.0,0.0
ORD00147,2023-08-25,2023-08,Mỹ phẩm,Hà Nội,2640000.0,Delivered,4,0.0,0.0
ORD00148,2023-05-23,2023-05,Điện thoại & Phụ kiện,Hà Nội,3030000.0,Delivered,13,0.0,0.0
ORD00149,2023-06-20,2023-06,Mỹ phẩm,TP.HCM,4500000.0,Delivered,2,0.0,0.0
ORD00150,2023-01-29,2023-01,Điện thoại & Phụ kiện,Hải Phòng,3660000.0,Delivered,10,0.0,0.0
ORD00151,2023-02-05,2023-02,Thời trang,Hà Nội,3970000.0,Delivered,2,0.0,0.0
ORD00152,2023-01-13,2023-01,Thời trang,Cần Thơ,2630000.0,Delivered,2,4.0,2630000.0
ORD00153,2023-06-09,2023-06,Nhà cửa & Đời sống,TP.HCM,1390000.0,Returned,13,0.0,0.0
ORD00154,2023-11-23,2023-11,Điện thoại & Phụ kiện,Cần Thơ,210000.0,Returned,1,0.0,0.0
ORD00155,2023-07-06,2023-07,Điện thoại & Phụ kiện,Hải Phòng,440000.0,Delivered,3,4.0,440000.0
ORD00156,2023-08-31,2023-08,Điện thoại & Phụ kiện,Đà Nẵng,2070000.0,Delivered,11,1.0,2070000.0
ORD00157,2023-03-27,2023-03,Mỹ phẩm,Cần Thơ,2570000.0,Delivered,10,5.0,2570000.0
ORD00158,2023-10-11,2023-10,Thời trang,Đà Nẵng,1190000.0,Delivered,1,1.0,1190000.0
ORD00159,2023-03-07,2023-03,Mỹ phẩm,TP.HCM,3370000.0,Canceled,4,0.0,0.0
ORD00160,2023-06-19,2023-06,Điện thoại & Phụ kiện,Cần Thơ,4140000.0,Delivered,1,4.0,4140000.0
ORD00161,2023-02-14,2023-02,Điện thoại & Phụ kiện,Cần Thơ,2540000.0,Delivered,4,3.0,2540000.0
ORD00162,2023-03-03,2023-03,Điện thoại & Phụ kiện,TP.HCM,2590000.0,Delivered,3,4.0,2590000.0
ORD00163,2023-05-14,2023-05,Nhà cửa & Đời sống,TP.HCM,3750000.0,Delivered,9,2.0,3750000.0
ORD00164,2023-10-11,2023-10,Thời trang,Hà Nội,3260000.0,Delivered,1,2.0,3260000.0
ORD00165,2023-01-28,2023-01,Nhà cửa & Đời sống,Hải Phòng,1720000.0,Delivered,8,2.0,1720000.0
ORD00166,2023-04-18,2023-04,Điện thoại & Phụ kiện,Cần Thơ,570000.0,Delivered,11,2.0,570000.0
ORD00167,2023-02-13,2023-02,Thời trang,Cần Thơ,4080000.0,Canceled,9,0.0,0.0
ORD00168,2023-12-06,2023-12,Thời trang,TP.HCM,800000.0,Delivered,12,1.0,800000.0
ORD00169,2023-10-13,2023-10,Điện thoại & Phụ kiện,TP.HCM,4080000.0,Canceled,7,0.0,0.0
ORD00170,2023-11-27,2023-11,Mỹ phẩm,Hải Phòng,1430000.0,Delivered,1,3.0,1430000.0
ORD00171,2023-05-08,2023-05,Nhà cửa & Đời sống,TP.HCM,2480000.0,Delivered,4,5.0,2480000.0
ORD00172,2023-12-14,2023-12,Mỹ phẩm,Đà Nẵng,4740000.0,Returned,10,0.0,0.0
ORD00173,2023-08-19,2023-08,Mỹ phẩm,Đà Nẵng,770000.0,Delivered,1,2.0,770000.0
ORD00174,2023-07-09,2023-07,Điện thoại & Phụ kiện,Đà Nẵng,2870000.0,Returned,4,0.0,0.0
ORD00175,2023-08-13,2023-08,Điện thoại & Phụ kiện,Đà Nẵng,410000.0,Delivered,3,1.0,410000.0
ORD00176,2023-10-10,2023-10,Nhà cửa & Đời sống,Hải Phòng,1320000.0,Delivered,2,2.0,1320000.0
ORD00177,2023-05-01,2023-05,Điện thoại & Phụ kiện,Cần Thơ,310000.0,Canceled,1,0.0,0.0
ORD00178,2023-04-26,2023-04,Mỹ phẩm,Đà Nẵng,1640000.0,Delivered,6,5.0,1640000.0
ORD00179,2023-08-21,2023-08,Mỹ phẩm,TP.HCM,1190000.0,Delivered,12,1.0,1190000.0
ORD00180,2023-09-16,2023-09,Thời trang,Đà Nẵng,2800000.0,Delivered,7,2.0,2800000.0
ORD00181,2023-12-25,2023-12,Nhà cửa & Đời sống,Hải Phòng,3890000.0,Canceled,6,0.0,0.0
ORD00182,2023-07-17,2023-07,Điện thoại & Phụ kiện,TP.HCM,3090000.0,Canceled,9,0.0,0.0
ORD00183,2023-05-17,2023-05,Điện thoại & Phụ kiện,Đà Nẵng,1240000.0,Delivered,12,3.0,1240000.0
ORD00184,2023-11-14,2023-11,Điện thoại & Phụ kiện,Cần Thơ,4790000.0,Returned,9,0.0,0.0
ORD00185,2023-06-14,2023-06,Thời trang,TP.HCM,2290000.0,Delivered,2,4.0,2290000.0
ORD00186,2023-08-13,2023-08,Điện thoại & Phụ kiện,TP.HCM,4990000.0,Returned,2,0.0,0.0
ORD00187,2023-11-03,2023-11,Điện thoại & Phụ kiện,Cần Thơ,2390000.0,Delivered,9,5.0,2390000.0
ORD00188,2023-08-22,2023-08,Mỹ phẩm,TP.HCM,2610000.0,Delivered,1,3.0,2610000.0
ORD00189,2023-06-21,2023-06,Nhà cửa & Đời sống,Đà Nẵng,2580000.0,Canceled,5,0.0,0.0
ORD00190,2023-06-01,2023-06,Điện thoại & Phụ kiện,TP.HCM,180000.0,Delivered,1,2.0,180000.0
ORD00191,2023-11-11,2023-11,Điện thoại & Phụ kiện,Đà Nẵng,430000.0,Returned,7,0.0,0.0
ORD00192,2023-06-09,2023-06,Nhà cửa & Đời sống,Cần Thơ,2370000.0,Delivered,9,1.0,2370000.0
ORD00193,2023-04-06,2023-04,Điện thoại & Phụ kiện,Hà Nội,820000.0,Delivered,6,2.0,820000.0
ORD00194,2023-08-21,2023-08,Điện thoại & Phụ kiện,Cần Thơ,4080000.0,Returned,2,0.0,0.0
ORD00195,2023-06-29,2023-06,Điện thoại & Phụ kiện,Đà Nẵng,4550000.0,Returned,6,0.0,0.0
ORD00196,2023-04-23,2023-04,Thời trang,Hải Phòng,3100000.0,Delivered,9,3.0,3100000.0
ORD00197,2023-11-14,2023-11,Điện thoại & Phụ kiện,Cần Thơ,2210000.0,Delivered,3,3.0,2210000.0
ORD00198,2023-02-21,2023-02,Nhà cửa & Đời sống,Hải Phòng,810000.0,Canceled,9,0.0,0.0
ORD00199,2023-09-25,2023-09,Thời trang,Hải Phòng,670000.0,Returned,8,0.0,0.0
ORD00200,2023-10-22,2023-10,Thời trang,Đà Nẵng,2290000.0,Delivered,13,1.0,2290000.0
ORD00201,2023-04-23,2023-04,Điện thoại & Phụ kiện,Đà Nẵng,3800000.0,Delivered,12,3.0,3800000.0
ORD00202,2023-04-11,2023-04,Thời trang,Hà Nội,2840000.0,Canceled,7,0.0,0.0
ORD00203,2023-04-23,2023-04,Thời trang,TP.HCM,2580000.0,Delivered,8,3.0,2580000.0
ORD00204,2023-03-22,2023-03,Mỹ phẩm,Cần Thơ,250000.0,Returned,10,0.0,0.0
ORD00205,2023-07-06,2023-07,Mỹ phẩm,Đà Nẵng,840000.0,Delivered,6,1.0,840000.0
ORD00206,2023-04-23,2023-04,Thời trang,Cần Thơ,1150000.0,Delivered,3,4.0,1150000.0
ORD00207,2023-01-02,2023-01,Nhà cửa & Đời sống,Hải Phòng,1450000.0,Delivered,7,3.0,1450000.0
ORD00208,2023-05-10,2023-05,Mỹ phẩm,TP.HCM,4260000.0,Delivered,4,5.0,4260000.0
ORD00209,2023-08-08,2023-08,Mỹ phẩm,Hà Nội,830000.0,Delivered,11,2.0,830000.0
ORD00210,2023-02-23,2023-02,Điện thoại & Phụ kiện,Cần Thơ,2630000.0,Returned,10,0.0,0.0
ORD00211,2023-12-09,2023-12,Điện thoại & Phụ kiện,TP.HCM,270000.0,Delivered,5,1.0,270000.0
ORD00212,2023-08-12,2023-08,Điện thoại & Phụ kiện,Hà Nội,4280000.0,Canceled,8,0.0,0.0
ORD00213,2023-08-13,2023-08,Thời trang,Cần Thơ,520000.0,Delivered,7,2.0,520000.0
ORD00214,2023-05-06,2023-05,Thời trang,TP.HCM,590000.0,Canceled,7,0.0,0.0
ORD00215,2023-05-10,2023-05,Thời trang,Đà Nẵng,120000.0,Delivered,8,5.0,120000.0
ORD00216,2023-02-22,2023-02,Mỹ phẩm,Cần Thơ,2410000.0,Delivered,10,5.0,2410000.0
ORD00217,2023-06-21,2023-06,Mỹ phẩm,TP.HCM,2280000.0,Delivered,3,2.0,2280000.0
ORD00218,2023-08-06,2023-08,Nhà cửa & Đời sống,Hà Nội,680000.0,Delivered,3,3.0,680000.0
ORD00219,2023-06-09,2023-06,Điện thoại & Phụ kiện,TP.HCM,2930000.0,Returned,2,0.0,0.0
ORD00220,2023-07-17,2023-07,Thời trang,Đà Nẵng,3110000.0,Delivered,1,2.0,3110000.0
ORD00221,2023-09-04,2023-09,Điện thoại & Phụ kiện,Cần Thơ,730000.0,Delivered,10,3.0,730000.0
ORD00222,2023-11-20,2023-11,Điện thoại & Phụ kiện,Cần Thơ,790000.0,Delivered,6,4.0,790000.0
ORD00223,2023-07-22,2023-07,Điện thoại & Phụ kiện,Cần Thơ,3120000.0,Delivered,6,5.0,3120000.0
ORD00224,2023-07-03,2023-07,Điện thoại & Phụ kiện,Đà Nẵng,1510000.0,Delivered,13,1.0,1510000.0
ORD00225,2023-05-03,2023-05,Thời trang,Hà Nội,4000000.0,Delivered,10,1.0,4000000.0
ORD00226,2023-09-12,2023-09,Mỹ phẩm,Cần Thơ,2110000.0,Delivered,12,3.0,2110000.0
ORD00227,2023-10-21,2023-10,Điện thoại & Phụ kiện,Hà Nội,2160000.0,Returned,8,0.0,0.0
ORD00228,2023-10-07,2023-10,Mỹ phẩm,TP.HCM,4240000.0,Delivered,6,4.0,4240000.0
ORD00229,2023-11-21,2023-11,Thời trang,Hà Nội,2300000.0,Delivered,6,2.0,2300000.0
ORD00230,2023-04-08,2023-04,Điện thoại & Phụ kiện,Hà Nội,3710000.0,Canceled,1,0.0,0.0
ORD00231,2023-07-17,2023-07,Thời trang,Cần Thơ,2550000.0,Delivered,12,1.0,2550000.0
ORD00232,2023-08-28,2023-08,Điện thoại & Phụ kiện,Hải Phòng,900000.0,Canceled,7,0.0,0.0
ORD00233,2023-05-24,2023-05,Thời trang,Hải Phòng,2600000.0,Delivered,7,3.0,2600000.0
ORD00234,2023-04-07,2023-04,Thời trang,Đà Nẵng,600000.0,Delivered,10,3.0,600000.0
ORD00235,2023-07-20,2023-07,Điện thoại & Phụ kiện,Đà Nẵng,2940000.0,Returned,9,0.0,0.0
ORD00236,2023-05-04,2023-05,Điện thoại & Phụ kiện,Hải Phòng,3780000.0,Delivered,12,5.0,3780000.0
ORD00237,2023-07-06,2023-07,Thời trang,TP.HCM,4080000.0,Delivered,7,1.0,4080000.0
ORD00238,2023-11-22,2023-11,Nhà cửa & Đời sống,Cần Thơ,3930000.0,Delivered,8,2.0,3930000.0
ORD00239,2023-12-15,2023-12,Điện thoại & Phụ kiện,Cần Thơ,3550000.0,Delivered,4,5.0,3550000.0
